RowIdx,Attribute1,Attribute2,Attribute3,Attribute4,OutputClass
87,22.07,27.57,429,606.75,1
88,21.5,28.25,0,566,0
89,23.29,25.72,173.5,954.25,0
90,20.39,21.29,0,446.5,0
91,23,28.5,327.25,634.75,0
92,20.7,27.1,14,1434,0
93,19.39,27.5,0,442,0
94,20.5,23.65,0,561,0
95,19.39,30.7,0,437,0
96,21.84,21.65,436.5,918.75,1
97,20.79,26.7,0,1480,0
98,19.89,34.5,0,545,0
99,20.25,33.05,0,446,0
100,20.89,24.25,0,577.5,0
101,20.26,23,0,435.25,0
102,20.5,32.7,0,668,0
103,21.6,28.5,0,899.67,0
104,20.39,35.2,116.33,497.67,0
105,22.6,28,454,1101.67,1
106,22.55,29.42,464,584,1
107,20.2,19,0,447.5,0
108,21.89,34.29,0,1529,0
109,23.65,27.05,464,900.5,1
110,19.39,26.79,0,462.5,0
111,19.39,30.75,0,438,0
112,20.39,30.2,0,727,0
113,20,30.29,0,713.33,0
114,20.97,25.82,0,597.5,0
115,20.79,26.2,0,1492,0
116,20,35.15,0,533.5,0
117,21.2,25.1,0,444,0
118,21.79,19,551.67,630.67,1
119,21.29,31.32,433,991.5,1
120,19.89,35.4,0,529,0
121,21.2,25.14,454,735,1
122,20.89,25.39,0,527,0
123,21.89,30.6,429,824,1
124,22.5,26.97,449.5,1054.5,1
125,20.89,23.1,0,454,0
126,21.7,20.84,0,778.5,0
127,24,24.1,171,669,0
128,21.6,27.13,460.25,963.5,1
129,21.6,21.39,433,847.5,1
130,21.97,30.5,433,801.5,1
131,22.07,27.17,0,566.33,0
132,20,35.24,0,533.5,0
133,20,30.5,0,718,0
134,22.29,26.15,472.25,893.75,1
135,20.79,25,0,528.25,0
136,21.2,27.25,0,570.5,0
137,22.55,17.6,346,458.75,0
138,21.29,27.79,0,801.5,0
139,19.89,18.84,0,436,0
140,19.65,36.95,0,499,0
141,20.29,31.29,0,715.5,0
142,21.75,28.86,461.5,909.75,1
143,21.89,25.29,495.5,910.75,1
144,22.77,28.65,274,639,0
145,21.89,29.36,442.75,917,1
146,21.27,21,460,794.5,1
147,22,37.95,444,1832.75,1
148,20.6,22.2,0,454.67,0
149,19.89,35.5,0,526,0
150,21.34,23.97,0,604.5,0
151,20.58,22.14,0,446,0
152,22.2,34.06,471,1369.33,1
153,21.2,32.4,0,530.33,0
154,20.39,32.79,0,665.5,0
155,20.2,22.89,0,433.75,0
156,20.89,23.6,0,451,0
157,21.63,28.73,0,944.33,0
158,21.25,25.65,0,471.5,0
159,19.39,27.1,0,458,0
160,20.29,28.93,0,774,0
161,20.17,33,0,445.67,0
162,19.65,19.34,0,444.5,0
163,23.2,28.5,345,627,0
164,20.74,24.39,419,601.4,1
165,22.07,21.49,487.33,876.33,1
166,24.18,23.89,194.75,691.75,0
167,22.02,25.6,518.5,948.25,1
168,22.7,31.29,447,1401,1
169,22.6,25,433,832,1
170,20.89,35.9,0,1200,0
171,20.34,18.7,0,425.5,0
172,22.2,27.1,461.5,1122.5,1
173,21,24.7,0,580,0
174,21,34.09,0,1512.5,0
175,21.7,32.97,464,1153.67,1
176,21.79,21.63,460,921.67,1
177,22.7,27.46,0,668.67,0
178,20,30.5,0,716.5,0
179,20.5,22.7,0,638,0
180,22.2,29.82,0,1135.5,0
181,20.7,20.6,0,464,0
182,23,16.79,199,441,0
183,19.29,27.7,0,432,0
184,21,34.09,0,1492,0
185,22.1,39.07,433,2028.25,1
186,20.5,23.8,0,565,0
187,20.6,22.45,0,629.5,0
188,22.2,34.45,433,1684,1
189,20.6,26.9,0,500,0
190,21,28.89,0,565,0
191,19.65,19.34,0,443,0
192,20.6,22.2,0,449.33,0
193,19.26,31.17,0,436.67,0
194,19.95,30.6,0,721.5,0
195,22.2,27.29,444,593.5,1
196,21.84,34.15,0,1499,0
197,20.5,31.15,447,959.75,1
198,20,30.39,0,719.67,0
199,19.89,26.2,0,441.33,0
200,22.27,27.42,429,917.25,1
201,22.1,20.13,567.67,767,1
202,19.23,30.53,31,433,0
203,20.6,30.29,0,773,0
204,19.5,27.6,0,448,0
205,20.45,19.05,170.5,453.5,0
206,20.26,29.63,0,727,0
207,22.2,34.2,474,1347.33,1
208,21,18.77,257.25,459,0
209,23.2,28.42,464,1112.75,1
210,20.57,30.23,0,744.67,0
211,20.39,18.6,0,436,0
212,23.1,17,278.75,448.5,0
213,20,34.05,0,549.33,0
214,21.1,29.39,0,530,0
215,19.7,28.57,0,439.67,0
216,21.55,28.2,459,895,1
217,19.5,27.6,0,444.5,0
218,22.63,26.5,565.75,1037.5,1
219,21.63,27.63,477.75,1041.25,1
220,20.89,24.35,0,582,0
221,21.79,27.1,0,537.5,0
222,20.25,30,0,734.5,0
223,20.92,22.97,0,489.5,0
224,22.1,34.45,459,1357,1
225,23.17,28.5,140,627.67,0
226,20.29,33.09,0,456.33,0
227,20.7,25.1,0,509,0
228,20.89,24.79,0,568,0
229,22.57,28,465.25,1108.25,1
230,19.5,26.7,0,460,0
231,21.1,21.27,444,787,1
232,23.29,28.39,483.4,1120.6,1
233,20.6,19,0,439,0
234,20.5,34.5,0,856.5,0
235,20.97,20.77,438,733.25,1
236,19.89,26.52,23.5,424.75,0
237,19.79,19.2,0,452,0
238,21,32,33.25,667.5,0
239,20,35.7,0,540,0
240,22.1,38.79,433,1997.5,1
241,22.6,25.73,55,546,0
242,22.18,17.79,93.25,441.5,0
243,21.13,18.7,253,461.5,0
244,22.13,24.27,433,878.5,1
245,20.7,34.5,26.5,513.5,0
246,20.5,34.09,0,756,0
247,22.29,26.6,454,543.33,1
248,21.1,31.45,433,951.25,1
249,20.55,23.95,415.5,493.25,1
250,20,32.2,0,579,0
251,19.79,19.29,0,440,0
252,23.68,25.57,797,715,1
253,21.89,30.89,442.33,606.67,1
254,23,28.25,524,573.5,1
255,22.52,27.82,449.5,1092.25,1
256,20.45,18.7,0,434,0
257,20.39,30.2,0,723,0
258,23.6,26.89,454,891,1
259,19.89,35.45,0,524.5,0
260,20.84,24.15,0,576,0
261,20.89,28.29,0,1357,0
262,20.42,35.02,148.75,494.5,0
263,19.6,38.29,0,501,0
264,20.29,22.7,0,441.5,0
265,20.65,27.05,199.75,424.5,0
266,20.6,24.79,0,546,0
267,20.2,30.39,0,714.5,0
268,19.39,27.39,0,446,0
269,20.89,23.1,0,499.67,0
270,21.7,20.39,481.5,788,1
271,19.5,38.5,0,504,0
272,20.2,22.89,0,440.6,0
273,20.29,31.2,0,510,0
274,23.7,25.39,791,707.67,1
275,21.29,33.2,489,1414,1
276,21.5,24.39,454,782.5,1
277,20.6,24.34,0,465.5,0
278,20.39,30.39,0,731,0
279,20.74,22.39,0,456.2,0
280,20,18.7,0,451,0
281,21,24.75,0,586,0
282,20.89,24.29,0,573,0
283,20.79,31.1,0,1502,0
284,19.29,31.2,0,437,0
285,20.2,23.29,0,441,0
286,19.5,27.7,0,451,0
287,20.29,22.77,0,439.6,0
288,21.89,28.1,0,599,0
289,20.89,24.89,0,573,0
290,20.89,25,0,576,0
291,22.12,28.07,555,1192.17,1
292,20.29,31.2,0,715.5,0
293,20.89,29,0,1058.5,0
294,21,29.5,0,562,0
295,20.93,32.53,469,1276.67,1
296,20.43,19.16,413,504,1
297,20.79,22.6,0,469,0
298,19.34,27.2,0,457,0
299,20.89,36.09,0,1243,0
300,19.5,26.79,0,470,0
301,20.77,29.7,121,616.25,0
302,19.39,27.1,0,457,0
303,19.39,27.5,0,443,0
304,19.6,37.9,0,508,0
305,22.89,30.86,454,1383.83,1
306,20.2,18.6,0,440,0
307,23.45,26.65,596,561.5,1
308,20.5,32.59,0,678.5,0
309,21.79,28.05,0,594.5,0
310,21.65,33.02,55,1105.25,0
311,20.79,24.92,0,538,0
312,20.7,24.63,0,476.86,0
313,21.79,20.55,487.75,837,1
314,22.2,21.25,523.5,882.5,1
315,20.89,23.2,0,492.5,0
316,20.5,33.4,0,646.5,0
317,21.5,27.13,454,978.67,1
318,20.6,26.84,0,1233.5,0
319,21.68,28.97,454,910.25,1
320,20.75,26.2,0,1481,0
321,20.81,22.62,0,467.4,0
322,20.39,32.2,0,683.33,0
323,19.89,35.79,0,500,0
324,22.29,17.68,100,440.5,0
325,20.89,29.7,0,1255.5,0
326,20.39,23.5,399.5,498.75,1
327,20.6,30.29,0,738.5,0
328,19.6,19.5,14,451,0
329,20.75,27.1,0,1417,0
330,19.46,27.57,0,450,0
331,20.79,31.89,0,514,0
332,19.26,31.2,29,430.67,0
333,23.29,25.79,584.8,894.4,1
334,20.1,21,0,444.5,0
335,21.29,31.29,433,959,1
336,19.65,26.75,31,417.75,0
337,21.39,32.15,423.5,588.75,1
338,20.2,18.89,411,459.75,1
339,20.93,22.93,0,488,0
340,20.29,31.2,0,512,0
341,21.39,31.52,40.75,657.75,0
342,22.6,25.04,432.2,837.2,1
343,20.39,32.7,0,652,0
344,21,25,0,579,0
345,21.39,18.45,291,460.5,0
346,21.5,27.82,454,1010,1
347,21.7,20.2,494,780.25,1
348,21.39,32.52,444,1076.25,1
349,21.5,33.7,514,1315.67,1
350,20.7,31.79,0,515,0
351,20.7,24.68,0,479.25,0
352,21.92,37.15,440.25,1727.5,1
353,20.39,19.1,0,458.5,0
354,20.1,33.2,0,551.5,0
355,22.1,26.2,454,1024,1
356,20.7,24.79,0,486,0
357,24.1,22.5,237,830.75,0
358,20.6,21.97,6,926.75,0
359,21.7,27.92,489,1088.75,1
360,22.1,26.1,446.5,1026.75,1
361,20.93,24.26,0,578,0
362,20,19.27,133,458.25,0
363,21.89,30.82,429,891.25,1
364,21.34,21,449.5,801.25,1
365,20.6,35.24,78.5,496,0
366,19.39,31,0,440.5,0
367,20.29,30.5,0,734.5,0
368,20.89,24.89,0,428,0
369,20.7,26.95,0,1219.5,0
370,21.6,19.29,537,653,0
371,19.6,38.09,0,502,0
372,21,24.6,0,581,0
373,21.7,25.84,516,578.5,1
374,20.39,19.1,0,462,0
375,20.89,25.1,0,563.25,0
376,20.6,24.39,0,464,0
377,20.7,25.6,0,543,0
378,20.5,19.26,0,479,0
379,22.27,28.02,429,959.75,1
380,23.34,24.95,86.5,579,0
381,20.39,30.2,0,712,0
382,21,24.75,0,577.5,0
383,20.27,30.34,0,731,0
384,20.39,26.29,0,848,0
385,19.79,19.29,0,443,0
386,19.39,27.2,0,461,0
387,19.89,35.4,0,526,0
388,20.5,19,0,433,0
389,20.7,25.1,0,552.67,0
390,24.18,22.7,234.6,728,0
391,20.39,19.25,0,476.5,0
392,20.89,26.95,14,1406.5,0
393,20.95,24.05,0,580,0
394,24.1,22.46,275,866,0
395,21.79,21.45,464.5,890,1
396,20.6,26.85,0,509,0
397,21,25,0,439,0
398,20.76,27,0,1498,0
399,20.79,26.6,0,1253,0
400,19.89,35.74,0,532,0
401,21.68,32.72,450.25,1382.25,1
402,20.89,23.2,0,492.33,0
403,20.89,24.29,0,445.5,0
404,20.5,21.29,0,447,0
405,22.39,26.29,435,1049.67,1
406,20.2,30.5,0,717,0
407,19.89,35.5,0,516.67,0
408,22.89,26.45,668,1020.75,1
409,20.89,28.65,0,1774,0
410,22.42,26.82,456,1063.25,1
411,20.29,18.79,0,436.5,0
412,20.86,24.89,0,545.5,0
413,19.79,19.29,0,440,0
414,20.79,24.79,433,665.5,1
415,20.6,25.2,405,871.5,0
416,22.05,30.34,99,662,0
417,19.79,36.4,0,503,0
418,20.22,22.81,0,431.4,0
419,20.77,25,0,513.75,0
420,21.1,30.1,0,534,0
421,24.15,22.7,257.5,729.25,0
422,19.79,35.4,0,512,0
423,19.42,30.42,255,425.67,0
424,20.45,32.65,0,675,0
425,19.89,19,0,435,0
426,22.6,28.25,513.5,1106.75,1
427,20.7,34.7,40.5,495.75,0
428,24.2,23.5,229.75,735,0
429,20.39,22.46,0,433,0
430,20.5,35.34,98.5,509.25,0
431,19.6,19.29,0,451,0
432,20.34,30.5,0,735.5,0
433,23.29,27.26,531,1023,1
434,20.6,20.89,0,451,0
435,19.79,18.79,0,432,0
436,19.23,30.53,31,437.67,0
437,20.25,29.34,0,732.5,0
438,23.33,27.87,528,1075.6,1
439,20.86,24.17,0,444.33,0
440,21.84,30.3,0,941.5,0
441,20.6,24.5,0,559,0
442,21.7,28.79,0,590,0
443,20.53,23.2,0,576.5,0
444,21.79,28.65,419,596.5,1
445,21.5,28.13,0,566,0
446,20.45,33.02,0,539.5,0
447,21.77,28.05,499,1127.83,1
448,21.7,27.84,474,1073.67,1
449,21.2,32.4,0,526,0
450,20.29,30.29,0,722,0
451,20.79,29.39,0,486,0
452,21,25.09,0,572.67,0
453,22.32,28.39,486,1052.33,1
454,22.2,38.4,433,1923.75,1
455,22.18,26.6,442.75,1067.75,1
456,20.2,19,0,446,0
457,22.25,27.58,562,1077,1
458,21.53,19.96,58.33,732,0
459,22.1,21.32,490.25,876,1
460,20.7,22.5,0,455,0
461,19.29,30.5,24,432.75,0
462,20.5,30.39,0,747.33,0
463,20.34,19.29,0,498,0
464,19.7,19.39,0,441,0
465,19.7,19.39,0,445,0
466,21.1,26.6,0,656.75,0
467,23.92,25.05,778.25,633.25,1
468,20.7,22.5,0,459.75,0
469,20.13,31.79,0,511.33,0
470,20.5,22.45,0,431.17,0
471,20.5,25.39,0,789,0
472,24.2,22.7,242.25,722.25,0
473,20.5,30.39,0,749,0
474,20.6,24.34,0,461.5,0
475,20.39,25.1,0,798,0
476,20.39,20.39,0,443,0
477,19.6,38.79,0,505,0
478,19.79,19.17,0,440.25,0
479,20.89,24.89,0,542.33,0
480,20.79,29.79,0,489.33,0
481,20.75,27.1,0,1471,0
482,19.89,18.79,0,441.33,0
483,20.29,31.39,0,713,0
484,21.79,29.75,419,667.5,1
485,20,35.9,37,514,0
486,20.89,24.95,0,581.5,0
487,19.39,30.89,0,434,0
488,22.29,26.1,444,840.5,0
489,20.39,32.9,0,505,0
490,19.7,19.39,0,454,0
491,19.39,30.93,0,439.33,0
492,21,29.2,0,524.5,0
493,21,25.25,460,714.5,1
494,21.7,24.29,0,661.25,0
495,20.25,32.84,0,461,0
496,22.7,26.07,31,965.25,0
497,20.6,24.2,0,463.25,0
498,20.84,27,14,1416.25,0
499,20,32.09,0,579.5,0
500,22,28.29,528,1188.25,1
501,21.79,29.27,77.25,630.75,0
502,20.39,18.7,0,434.5,0
503,22.7,31.42,440,1396.25,1
504,21.75,30.89,87,653,0
505,22.6,30.58,419,1261.75,1
506,20.5,25.7,0,786.5,0
507,20.79,31.2,0,1582,0
508,22.79,25.82,31,977,0
509,20.95,25.1,0,540,0
510,21.6,28.05,459,865.25,1
511,20.15,23.7,0,441.5,0
512,22.07,30.57,447,594,1
513,20.29,19.1,0,466,0
514,20,36,24,513,0
515,21,27.14,0,569,0
516,23.32,23.05,697,827.5,1
517,22.25,25.89,451.75,797.5,0
518,19.93,35.09,0,543,0
519,20.39,32.7,0,664.33,0
520,21,25,0,444,0
521,22.1,25.83,478,1006.67,1
522,22.2,29.84,0,1124.75,0
523,20.5,23.3,0,585,0
524,23.2,27.72,538,557.25,1
525,20.39,31.1,0,513,0
526,20.39,24.89,0,809.33,0
527,19.29,31.6,0,436.5,0
528,20.7,24.63,0,484,0
529,20.34,30.39,0,731.5,0
530,19.29,30.7,102.67,435,0
531,19.67,19.46,17.33,456.33,0
532,19.79,19.2,0,437,0
533,22.13,24.26,433,887,1
534,20.7,26.55,77.5,416,0
535,22.65,25.42,438,880.75,1
536,21.79,29.39,449.5,933.5,1
537,22.45,28.25,543,1066.5,1
538,20.6,22.5,9,805.5,0
539,20.7,22.36,0,458,0
540,20.5,22.64,0,695,0
541,19.1,30.89,24,433,0
542,20.79,24.89,0,523,0
543,20.89,24.89,0,443,0
544,20.6,24.39,0,461.33,0
545,20.39,25.2,0,802.67,0
546,20.6,24.55,0,740,0
547,22.7,26.89,520,1110.33,1
548,19.89,35.4,0,522,0
549,21.32,26.77,454,918.5,1
550,19.93,34.4,0,537.33,0
551,19.5,27,0,455,0
552,20.79,26.5,0,1533.5,0
553,20.39,30.5,0,739,0
554,20.39,25,0,801,0
555,20.39,26.5,0,856,0
556,20.39,30.45,0,741,0
557,22.26,24.86,0,769.33,0
558,20.79,27,14,1482,0
559,20.6,30.5,101.33,787.67,0
560,20.15,32.24,0,566.5,0
561,21.2,28.26,0,559,0
562,21.2,25.36,0,465.75,0
563,21.34,26.95,464,935.75,1
564,19.29,26.79,0,467.67,0
565,19.6,36.59,0,499.5,0
566,21,24.5,0,578.5,0
567,22.1,24.79,525.33,1070,1
568,20.5,33.79,408,502.5,1
569,19.95,34.5,0,538,0
570,21.39,25.7,0,479,0
571,22.6,17.17,140.67,446,0
572,20.39,22.5,0,438,0
573,20.6,24.39,0,463.33,0
574,22,26.2,439,1025,1
575,19.57,38.4,0,507.25,0
576,19.39,31.25,0,434.5,0
577,20,30.29,0,713.5,0
578,21.5,33.29,469,1262,1
579,20.5,24.03,0,587.25,0
580,19.89,18.89,0,438,0
581,19.84,35.34,0,537,0
582,20.2,35.7,33.5,506.5,0
583,19.6,38.29,0,505,0
584,20.92,34.09,0,1477,0
585,21.39,27.27,449.5,975,1
586,20.6,30.29,0,738.5,0
587,21.92,30.55,395.25,772.25,1
588,20.65,25.4,0,550,0
589,22.2,26.21,441.9,788.6,1
590,19.29,31.07,6,437.5,0
591,21.39,31.55,33.5,661.5,0
592,20.6,28.1,0,497,0
593,21.29,25.2,0,461,0
594,20.63,24.32,0,461,0
595,20.45,31.25,0,510.5,0
596,20.89,23.39,0,450,0
597,22.29,26.1,112.75,898.5,0
598,23.02,29.92,469,1246,1
599,21.2,19.39,0,475,0
600,19.7,36.5,0,503,0
601,20.54,24.1,0,466.4,0
602,20,33.5,0,506,0
603,23.1,16.96,267.33,448.67,0
604,20.2,30.39,0,715,0
605,20.92,19.79,433,642,1
606,21.1,29.64,0,523.5,0
607,20.7,24.5,0,462.33,0
608,19.39,30.7,0,436,0
609,21.89,29.77,415,648,1
610,21.5,33.45,464,1445.75,1
611,20.39,30.43,0,741.33,0
612,20.79,24.79,433,666.33,1
613,20.5,23.96,0,568.67,0
614,22.45,29.79,459,595,1
615,20.39,31.2,0,511,0
616,22.95,28.2,429,1091.75,1
617,19.39,27.6,0,437.5,0
618,20.79,29.8,0,496.5,0
619,20.36,26.2,85.33,424.33,0
620,20.25,32.84,0,455,0
621,21.1,23.57,0,545.75,0
622,20,18.7,0,436,0
623,19.7,19.5,0,455,0
624,19.89,30.55,0,720.5,0
625,20.55,23.95,0,578.5,0
626,23,27.93,429,1058.33,1
627,21.6,18.39,307.67,457,0
628,19.2,31.5,0,435,0
629,20.75,31.89,0,508.5,0
630,20.39,32.2,0,685.5,0
631,20.2,30.39,0,710.5,0
632,21.2,26.05,449.5,815.2,1
633,20.5,19.39,0,436,0
634,19.7,19.29,0,444.5,0
635,19.43,31,0,439,0
636,20.29,28.6,0,798,0
637,21.79,24.39,0,691,0
638,20.7,22.72,434,727.25,1
639,21.79,34.2,0,1499,0
640,19.89,35.4,0,512.5,0
641,19.79,19.29,0,446.5,0
642,20.2,32.9,0,443,0
643,20,30.29,0,715.33,0
644,21.2,19.39,0,481,0
645,23.79,24.2,115.5,617.5,0
646,20.29,29.2,0,732,0
647,20.05,33.7,0,546.5,0
648,19.7,36.5,0,502,0
649,20.6,35.09,0,974.5,0
650,20.32,33.23,419,456.67,1
651,21.76,27.1,0,530,0
652,20.26,33.06,0,452.33,0
653,21.89,31.13,432.75,977.5,0
654,21.5,26,0,503.5,0
655,22.1,26.2,454,1014,1
656,21.89,29.1,454,897,1
657,20.1,21,0,445,0
658,22,34.55,469,1296,1
659,21.7,28.82,0,942.75,0
660,22.02,21.01,478.6,864.6,1
661,20.45,25.65,0,797.5,0
662,22,29.89,433,973,1
663,20.2,30.5,0,714.5,0
664,22.39,17.34,138,436,0
665,21.2,31.79,40,670.33,0
666,20.1,35.79,14,510,0
667,22.1,26.57,449.5,1041.5,1
668,20.63,35.23,0,1018,0
669,20.39,32.9,0,500.5,0
670,20.29,18.7,0,433,0
671,20.6,35.17,60.75,507.5,0
672,21.7,34.2,0,1488,0
673,21.7,23.55,0,755,0
674,21,24.55,0,577,0
675,20.89,28.25,0,1342,0
676,19.79,36.4,0,503,0
677,19.82,35.43,0,522.33,0
678,19.79,19.2,0,438,0
679,20.5,19.1,0,434,0
680,22.7,29.1,479,578,1
681,20.39,23.43,397.4,494.2,1
682,20.29,22.7,0,437,0
683,21.95,30.05,433,969.5,1
684,19.7,19.29,0,453,0
685,20.29,30.42,422.5,802.75,1
686,20.29,19.22,400,483.5,1
687,20,35.5,0,515,0
688,20.89,29.39,0,1234.5,0
689,20.1,36.59,37,512,0
690,22.2,20.92,523.5,865,1
691,21.29,25.7,0,477.5,0
692,20.84,18.84,219,457.5,0
693,21.1,21.1,454.75,779.75,1
694,22,20.8,474.5,873.5,1
695,19.7,26.73,31,423.33,0
696,19.95,34.5,0,504.5,0
697,19.63,37.43,0,506.67,0
698,22.52,17.65,341,451.5,0
699,20.29,29.89,0,729.5,0
700,19.39,26.75,0,472.5,0
701,19.79,36.09,32,513,0
702,19.29,26.1,0,467,0
703,20.2,32.9,0,447,0
704,20.79,34.5,47,514,0
705,21.39,27.39,462.33,963.33,1
706,21.29,24.2,433,692.75,1
707,20,32.2,0,578,0
708,20.7,25.29,0,546,0
709,20.29,35.59,31,505,0
710,21.29,25.3,58.5,509,0
711,20.89,24.6,0,579.5,0
712,21.7,33.09,38.33,1138,0
713,21.34,23.75,459.5,892,1
714,21.2,27.39,0,554.5,0
715,20.79,32.05,24,686,0
716,19.53,39.2,0,505.33,0
717,21.63,20.32,460.67,790.67,1
718,21.95,30.37,433,801.75,1
719,21,25.6,14,520.5,0
720,20.1,23.29,0,434.5,0
721,19.89,35.74,0,535.5,0
722,20.75,26,0,566,0
723,20.15,23.65,0,440,0
724,20.82,23.03,408.33,499,1
725,22.1,25.82,484,998,1
726,23.2,25.72,547,899.75,1
727,20.5,32.79,0,685,0
728,19.6,29.29,0,437,0
729,21.29,27.05,488,1006,1
730,21.2,23.75,0,569,0
731,20.13,33,0,441.67,0
732,22.39,26.1,46,930.5,0
733,22.89,28.57,335,631,0
734,20.1,32.29,0,568,0
735,22.6,27.43,0,658,0
736,22,38.59,438,1940,1
737,21.29,25.7,0,473.5,0
738,20.5,31.39,0,510.5,0
739,20.7,25,0,483.33,0
740,19.89,26.84,0,445,0
741,21.2,27.5,0,747,0
742,24,24.18,152,668,0
743,20.89,29.35,0,499,0
744,21,26.29,0,563,0
745,20.5,30.29,0,739.5,0
746,20.7,26.7,0,510,0
747,21,30.09,0,497,0
748,20.29,28.2,0,828,0
749,19.5,27.6,0,450,0
750,19.89,36.2,31,511,0
751,20.2,30.55,0,736.5,0
752,20.6,29,0,498,0
753,20.5,30.29,0,728.5,0
754,21.2,25.39,0,464,0
755,20.63,35.23,0,1015.67,0
756,19.89,35.4,0,532,0
757,20.1,31.79,0,592,0
758,20.23,30,0,723.5,0
759,21.42,33.27,464,1441.75,1
760,21.1,33.05,454,1361.75,1
761,21.6,28.1,454,963.67,1
762,19.5,27.1,0,459,0
763,19.39,31.2,0,437,0
764,20.29,18.7,0,432,0
765,21.89,30.1,430.5,754,1
766,20.39,32.9,0,502,0
767,20.73,26.29,0,1494,0
768,19.89,35.4,0,533,0
769,20.5,22.39,0,432.67,0
770,20.5,31.16,441,970.33,1
771,19.39,31.29,0,435.5,0
772,20.25,29.84,0,723.5,0
773,20,33.79,0,548.5,0
774,19.2,31.39,0,423.5,0
775,19.79,35.4,0,532,0
776,19.93,26.39,37,421.33,0
777,20.5,22.37,0,438,0
778,19.84,35.4,0,531,0
779,20.89,23.2,0,509.67,0
780,23.05,25.45,62,577.5,0
781,19.65,19.34,0,444,0
782,19.89,36,24,512,0
783,21.67,32.76,446,1506,1
784,22.45,26.75,429,1083.25,1
785,21.7,21.52,438,883.25,1
786,19.29,31.34,0,437,0
787,20.5,22.9,0,648.5,0
788,19.79,19.29,0,435.5,0
789,21.2,20,0,545,0
790,20.1,36.29,14,504,0
791,21.43,23.93,0,614.25,0
792,21.89,31.57,434,1085.67,1
793,20.39,24.29,7,833.5,0
794,20.6,26.15,110.25,424.75,0
795,20.7,25.1,0,508.5,0
796,21,25.89,0,577.5,0
797,21.63,28.92,459,914.25,1
798,23.42,26.52,608,599.75,1
799,21.89,30.6,65.67,678,0
800,19.6,19.5,40.75,456.75,0
801,20.5,21.1,0,438,0
802,22.6,28.6,359.33,628,0
803,20.86,24.93,0,541.33,0
804,21.89,29.2,97.67,631.25,0
805,20.89,23.5,0,446.5,0
806,19.2,31.6,0,429.5,0
807,20.7,22.89,0,454.5,0
808,21,23.5,411,542.75,1
809,20.29,32.9,0,457,0
810,19.79,27.79,0,438,0
